Date,Rainfall,Depth_to_Groundwater,Temperature,Drainage_Volume,River_Hydrometry,year,month,week_of_year,quarter,season,month_sin,month_cos,week_of_year_sin,week_of_year_cos,quarter_sin,quarter_cos,season_sin,season_cos
2009-01-11,0.0092307692307692,0.1893194335169159,0.0546594982078853,0.498140497051728,0.2879999999999998,2009,1,2,1,1,0.49999999999999994,0.8660254037844387,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-18,0.0123076923076923,0.2124311565696306,0.1666666666666666,0.6012068145482468,0.2799999999999998,2009,1,3,1,1,0.49999999999999994,0.8660254037844387,0.3536758442582659,0.9353680543979481,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-01-25,0.043076923076923,0.2446892210857596,0.2638888888888888,0.8249889690503067,0.3119999999999998,2009,1,4,1,1,0.49999999999999994,0.8660254037844387,0.46354991987510047,0.8860708051751779,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-02-01,0.0,0.2600314712824554,0.142921146953405,0.7684417422597114,0.4320000000000001,2009,2,5,1,1,0.8660254037844386,0.5000000000000001,0.5667013482820781,0.8239232863897432,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-02-08,0.1066666666666666,0.2805861526357205,0.2665770609318996,0.7128056432619521,0.4640000000000002,2009,2,6,1,1,0.8660254037844386,0.5000000000000001,0.6616341726628118,0.7498267943764056,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-02-15,0.0287179487179487,0.290617623918175,0.1164874551971326,0.7258307594450717,0.504,2009,2,7,1,1,0.8660254037844386,0.5000000000000001,0.7469716267628299,0.6648559158278518,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-02-22,0.0082051282051282,0.306943351691582,0.0595878136200717,0.7293090900755834,0.3679999999999996,2009,2,8,1,1,0.8660254037844386,0.5000000000000001,0.8214761014852389,0.5702429435675759,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-03-01,0.0,0.3235641227380021,0.1939964157706093,0.6640975537078317,0.3279999999999998,2009,3,9,1,2,1.0,6.123233995736766e-17,0.8840670933553547,0.4673600051846697,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2009-03-08,0.1938461538461538,0.3404799370574354,0.2746415770609319,0.5776206384770985,0.3679999999999996,2009,3,10,1,2,1.0,6.123233995736766e-17,0.9338368745561365,0.35769916371054955,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2009-03-15,0.0328205128205128,0.3449055861526358,0.2827060931899641,0.5598851635159219,0.3759999999999999,2009,3,11,1,2,1.0,6.123233995736766e-17,0.9700636572792403,0.24285077892818172,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2009-03-22,0.0348717948717948,0.3591660110149495,0.2374551971326164,0.5794142422453856,0.3599999999999999,2009,3,12,1,2,1.0,6.123233995736766e-17,0.9922220614752829,0.12448044312959303,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2009-03-29,0.0082051282051282,0.3784421715184898,0.3024193548387097,0.6182030726208962,0.4239999999999997,2009,3,13,1,2,1.0,6.123233995736766e-17,0.9999907341944384,0.004304825811567806,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2009-04-05,0.0912820512820512,0.3860149488591664,0.4233870967741935,0.5851675271762486,0.4640000000000002,2009,4,14,2,2,0.8660254037844387,-0.4999999999999998,0.9932570100176431,-0.11593322237741702,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-04-12,0.002051282051282,0.3970298977183324,0.4489247311827957,0.5793397475201851,0.3599999999999999,2009,4,15,2,2,0.8660254037844387,-0.4999999999999998,0.9721185449903587,-0.23448994538322554,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-04-19,0.0717948717948717,0.4125688434303702,0.4417562724014336,0.6198534173022594,0.2879999999999998,2009,4,16,2,2,0.8660254037844387,-0.4999999999999998,0.9368819003627187,-0.34964597062277286,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-04-26,0.0112820512820512,0.4212234461054289,0.4318996415770608,0.5915798039069617,0.2879999999999998,2009,4,17,2,2,0.8660254037844387,-0.4999999999999998,0.8880580966754119,-0.45973124423867995,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-05-03,0.0717948717948717,0.4333202202989774,0.4153225806451613,0.6233145568423404,0.3039999999999996,2009,5,18,2,2,0.49999999999999994,-0.8660254037844387,0.8263552026683089,-0.5631492511075711,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-05-10,0.0,0.4326317859952797,0.5327060931899642,0.4733967875582348,0.2080000000000001,2009,5,19,2,2,0.49999999999999994,-0.8660254037844387,0.7526680664914184,-0.6584001683505782,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-05-17,0.0,0.4309598741148703,0.6232078853046595,0.3878367304838146,0.1679999999999999,2009,5,20,2,2,0.49999999999999994,-0.8660254037844387,0.6680653381416068,-0.744102616561547,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-05-24,0.0,0.4213217938631,0.7244623655913978,0.2740489029219122,0.1439999999999999,2009,5,21,2,2,0.49999999999999994,-0.8660254037844387,0.5737739713325976,-0.819013693305075,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-05-31,0.2933333333333333,0.4217151848937845,0.6514336917562724,0.4197147425061172,0.1279999999999999,2009,5,22,2,2,0.49999999999999994,-0.8660254037844387,0.47116142956036844,-0.8820469983479509,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-06-07,0.0,0.4371557828481509,0.6003584229390682,0.4723595917689058,0.1679999999999999,2009,6,23,2,3,1.2246467991473532e-16,-1.0,0.3617158544210324,-0.9322883892125132,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16
2009-06-14,0.0,0.4242722265932341,0.6984767025089605,0.2898933579356937,0.1439999999999999,2009,6,24,2,3,1.2246467991473532e-16,-1.0,0.24702448379080302,-0.9690092385565203,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16
