Date,Rainfall,Depth_to_Groundwater,Temperature,Drainage_Volume,River_Hydrometry,year,month,quarter,season,month_sin,month_cos,quarter_sin,quarter_cos,season_sin,season_cos
2009-01-31,0.0329153605015673,0.2160998169961439,0.068713818273345,0.7267497666536475,0.3965060878771838,2009,1,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-02-28,0.0731452455590386,0.2969817930760023,0.0749748301031965,0.9366737718700144,0.5085673231706658,2009,2,1,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2009-03-31,0.1786833855799373,0.3563600623479364,0.2360936320161087,0.6270082680735851,0.4691068592603795,2009,3,1,2,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2009-04-30,0.0851619644723093,0.4100937027981197,0.4136756439298599,0.6932653925845509,0.4079255842093321,2009,4,2,2,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-05-31,0.1494252873563218,0.4281973667945984,0.6478731437201107,0.4006325175588991,0.2013915147848446,2009,5,2,2,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2009-06-30,0.0015673981191222,0.4251176561034953,0.7022443157983053,0.5009267656540648,0.1617635937381834,2009,6,2,3,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16
2009-07-31,0.0094043887147335,0.4111255490869403,0.8657186005537377,0.4055311360160991,0.1650911290932466,2009,7,3,3,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16
2009-08-31,0.2466039707419018,0.379288304938089,0.8808205386357917,0.4420423929089188,0.1537472585646222,2009,8,3,3,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16
2009-09-30,0.0710553814002089,0.361119820794906,0.6966524037251447,0.3708800301860813,0.1242531951901988,2009,9,3,4,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0
2009-10-31,0.0559038662486938,0.3386777293050378,0.4192046312610118,0.2093911149652791,0.0856840353928758,2009,10,4,4,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
2009-11-30,0.2236154649947753,0.3190153668971045,0.25125010487457,0.3494303701104835,0.135975194736444,2009,11,4,4,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
2009-12-31,0.2387669801462905,0.305325502657626,0.142713314875409,0.3806855417938211,0.4078499584058082,2009,12,4,1,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17
2010-01-31,0.3949843260188087,0.3326630226689619,0.03272086584445,0.6651595691863659,0.6596838841412689,2010,1,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2010-02-28,0.132183908045977,0.3777676695197582,0.1297328395239294,0.7890217988521344,0.6668143170449756,2010,2,1,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2010-03-31,0.0726227795193312,0.4486383246856225,0.2258998238107223,0.576387004097628,0.5258262119035018,2010,3,1,2,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2010-04-30,0.0282131661442006,0.517925031731723,0.3736219481500125,0.6565720924382543,0.3751039854798459,2010,4,2,2,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2010-05-31,0.3547544409613375,0.5624202938312322,0.5060407752328214,0.6157215863580094,0.5031384708462527,2010,5,2,2,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2010-06-30,0.0966562173458725,0.5833948873486148,0.7013340045305814,0.6092127125768718,0.2485063903803979,2010,6,2,3,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16
